"variable","1","2","3","4"
"heat_w_elecmains",0.977672750977836,0.954915310528064,0.0135433941404091,0.845132743362832
"heat_w_elecother",0.000162972620599739,8.30288940551312e-05,0.0107794361525705,0
"heat_w_gas",0.00733376792698827,0.00448356027897708,0.0433941404090658,0.00821744627054362
"heat_w_paraffin",0.00146675358539765,0.00556293590169379,0.186290768380321,0.00632111251580278
"heat_w_coal",0.000162972620599739,0.0053138492195284,0.00856826976229961,0.00189633375474083
"heat_w_wood",0.00195567144719687,0.0244104948522086,0.71558872305141,0.106194690265487
"heat_w_dung",0,0.00124543341082697,0.0113322277501382,0.00126422250316056
"heat_w_solar",0.0110821382007823,0.0039853869146463,0.00552791597567717,0.00442477876106195
"heat_w_other",0.000162972620599739,0,0.00138197899391929,0.0265486725663717
"heat_w_noaccess",0,0,0.00359314538419016,0
"heat_s_elecmains",0.688885267275098,0.440800398538691,0.00939745715865119,0.458912768647282
"heat_s_elecother",0.00146675358539765,0.000415144470275656,0.00414593698175788,0
"heat_s_gas",0.0448174706649283,0.00655928263035536,0.0080154781647319,0.0107458912768647
"heat_s_paraffin",0.0329204693611473,0.106360013284623,0.0732448866777225,0.0524652338811631
"heat_s_coal",0.00423728813559322,0.0223347725008303,0.0182421227197347,0.015802781289507
"heat_s_wood",0.0255867014341591,0.100298904018598,0.59452736318408,0.103666245259166
"heat_s_dung",0.000488917861799218,0.00166057788110262,0.00773908236594804,0.00126422250316056
"heat_s_solar",0.00114080834419817,0.00124543341082697,0.00525152017689331,0.00126422250316056
"heat_s_other",0.00179269882659713,0.00190966456326802,0.00138197899391929,0.0240202275600506
"heat_s_noaccess",0.198663624511082,0.318415808701428,0.278054173576562,0.331858407079646
