hh_id,exp_LCU_Electricity,exp_LCU_Petrol,exp_LCU_Firewood,exp_LCU_Gas,exp_LCU_Biomass,exp_LCU_Diesel,exp_LCU_Coal,hh_expenditures_LCU
19373,1197.56863899707,NA,NA,NA,NA,NA,NA,26034.533323668275
19374,1197.56863899707,NA,NA,NA,NA,NA,NA,29834.183000634814
19375,1197.56863899707,NA,NA,NA,NA,NA,NA,61979.363363790726
19376,1197.56863899707,NA,NA,NA,NA,NA,NA,120479.80687381145
19377,1197.56863899707,NA,NA,NA,NA,NA,NA,7226.694816653049
19378,2395.13727799415,1069.23231365106,NA,NA,NA,NA,NA,38457.36690501318
19379,5987.84319498536,8767.73427956708,NA,NA,NA,NA,NA,120747.40824717004
19380,2395.13727799415,13363.660718737303,NA,NA,NA,NA,NA,37617.568192427454
19381,3592.70591699122,280.673482333403,NA,NA,NA,NA,NA,58922.79210608155
19382,5988.370046816,8455.337598926253,NA,NA,NA,NA,NA,101107.7123417483
19383,2395.3480187264,8168.5638858899,NA,NA,NA,NA,NA,37765.626501857136
19384,3593.0220280896,NA,NA,NA,NA,NA,NA,76240.04337951787
19385,1197.6740093632,NA,NA,NA,NA,NA,NA,6733.830283688249
19386,3593.0220280896,8029.66396501787,NA,NA,NA,NA,NA,26267.404612992294
19387,1197.6740093632,NA,NA,NA,NA,NA,NA,43324.0571380069
19388,1197.6740093632,NA,NA,NA,NA,NA,NA,48547.9215076045
19389,2395.3480187264,NA,NA,NA,NA,NA,NA,24250.1558576971
19390,1197.6740093632,NA,NA,NA,NA,NA,NA,21251.95298006235
19391,3238.43798288923,NA,NA,NA,NA,NA,NA,47225.742779360604
19392,2698.69831907436,1494.28245289323,NA,NA,NA,NA,NA,37053.17986003596
19393,1079.47932762974,NA,NA,NA,NA,NA,NA,13713.06525969509
19394,2266.90658802246,NA,NA,NA,NA,NA,NA,41598.45594284833
19395,1619.21899144462,NA,NA,NA,NA,NA,NA,21626.981538150685
19396,1079.47932762974,NA,NA,NA,NA,NA,NA,14328.962190663895
19397,1619.21899144462,NA,NA,NA,NA,NA,NA,30154.78506170336
19398,2158.95865525949,NA,NA,NA,NA,NA,NA,83290.65547303387
19399,2158.95865525949,NA,NA,NA,NA,NA,NA,38608.41269681956
19400,2395.3480187264,NA,NA,NA,NA,NA,NA,38831.30579735345
19401,2395.3480187264,NA,NA,NA,NA,NA,NA,26750.784811197922
19402,3593.0220280896,345.512202200609,NA,NA,NA,NA,NA,80782.0212072253
19403,1197.6740093632,NA,NA,NA,NA,NA,NA,50014.04867033165
19404,1197.6740093632,372.090063908348,NA,NA,NA,NA,NA,28039.838558363022
19405,2395.3480187264,NA,NA,NA,NA,NA,NA,53227.08448192758
19406,2994.185023408,1911.82475357568,NA,NA,NA,NA,NA,37490.299504142575
19407,3593.0220280896,NA,NA,NA,NA,NA,NA,50899.444567833205
19408,2395.3480187264,NA,NA,NA,NA,NA,NA,85481.03402115511
19409,4790.6960374528,20743.29857629622,NA,NA,NA,NA,NA,247553.8412069394
19410,1199.92040141427,NA,NA,NA,NA,NA,NA,35772.22233021305
19411,1199.92040141427,NA,NA,NA,NA,NA,NA,15160.631681928284
19412,1199.92040141427,NA,NA,NA,NA,NA,NA,88358.65461646949
19413,1199.92040141427,NA,NA,NA,NA,NA,NA,14334.932627565864
19414,3599.76120424281,NA,NA,NA,NA,NA,NA,23824.034985240774
19415,1199.92040141427,NA,NA,NA,NA,NA,NA,26195.609364385768
19416,2158.95865525949,NA,NA,NA,NA,NA,NA,11673.164449850266
19417,2158.95865525949,3084.33914861883,NA,NA,NA,NA,NA,94100.99724754287
19418,2266.90658802246,647.522396253732,NA,NA,NA,NA,NA,44362.186811231055
19419,2266.90658802246,NA,NA,NA,NA,NA,NA,41877.76293548137
19421,2158.95865525949,NA,NA,NA,NA,NA,NA,67062.53223955858
19422,1619.21899144462,NA,NA,NA,NA,NA,NA,44150.288670969974
19423,2266.90658802246,NA,NA,NA,NA,NA,NA,35664.08576211915
19424,5395.31236755107,54360.85644437747,NA,NA,NA,NA,NA,157930.17117085337
19425,1079.06247351022,2544.983915935275,NA,NA,NA,NA,NA,46894.357615736
19426,7553.4373145715,NA,NA,NA,NA,NA,NA,71554.55375083753
19427,1079.06247351022,NA,NA,NA,NA,NA,NA,19408.386975041987
19428,4316.2498940408605,NA,NA,NA,NA,NA,NA,51504.570976706396
19429,1079.06247351022,NA,NA,NA,NA,NA,NA,29921.056614607554
19430,1079.06247351022,NA,NA,NA,NA,NA,NA,9519.860120527528
19431,3237.18742053065,2035.98713274822,NA,NA,NA,NA,NA,107649.1303525545
19432,2481.84368907349,2544.98391593528,NA,NA,NA,NA,NA,46259.29114796421
19433,1200,NA,NA,NA,NA,NA,NA,15389.9
19434,3600,NA,NA,NA,NA,NA,NA,33935.43442622951
19435,1200,NA,NA,NA,NA,NA,NA,11484
19436,6660,8350,NA,NA,NA,NA,NA,202640.04068284793
19437,3000,NA,NA,NA,NA,NA,NA,15825
19438,1200,NA,NA,NA,NA,NA,NA,10048
