hh_id,hh_size,hh_weights,province,urban_1,electricitycon,electricitymains,electricitysource,electricityfree,cookingsource,lightingsource,heatingsourcewater,heatingsourcespace,income,consumption,education_hhh,own_stove,own_vehicle,gender_hhh,ethnicity_hhh
112,6,927.98387141,1,1,1,1,8,2,1,1,1,11,64876.854693,75604.113325,7,1,3,1,2
113,3,1331.7344952,1,1,1,1,8,2,1,1,1,11,75584.988842,77567.999022,13,1,1,1,2
114,3,1619.917473,1,1,1,1,8,2,1,1,1,1,47371.546782,25081.926686,10,1,3,2,2
115,4,1619.917473,1,1,1,1,8,1,1,1,1,11,44112.557652,37016.853955,10,1,3,2,2
116,6,1331.7344952,1,1,1,2,1,2,1,1,1,1,107065.64588,77895.979129,13,1,3,1,2
117,3,931.40023045,1,1,1,1,8,2,1,1,1,1,170424.54094,158502.18543,13,1,3,1,2
118,3,937.63947805,1,1,1,1,8,2,1,1,1,1,141208.90535,123410.80756,11,1,1,1,4
119,4,803.1525041,1,1,1,2,1,2,1,1,3,1,299460.26479,160543.17398,17,1,3,1,4
120,3,803.1525041,1,1,1,1,8,2,1,1,1,1,158251.35944,189447.47916,18,1,1,1,4
121,1,1074.3943405,1,1,1,1,8,2,1,1,1,1,237888.38957,148196.77584,13,1,1,2,4
122,5,803.1525041,1,1,1,1,8,2,1,1,1,1,820404.53371,258233.66414,13,1,1,1,4
123,3,2566.4072358,1,1,9,9,9,9,99,99,99,99,225172.05043,91417.467069,13,9,9,2,4
124,1,1240.7808739,1,1,1,1,8,2,1,1,1,1,128629.95114,189652.72545,28,9,9,1,4
125,4,831.49116384,1,1,1,1,8,2,1,1,1,1,225203.85767,183899.36952,13,1,1,1,2
126,3,550.25966197,1,5,1,1,8,2,1,1,1,1,458139.04021,632605.43366,24,1,1,1,4
127,4,487.6465578,1,5,1,1,8,2,1,1,1,1,71517.90691,50443.642571,4,1,1,2,2
128,4,546.59812003,1,5,1,1,8,2,1,1,1,1,32621.854818,45800.870218,11,1,3,1,2
129,2,380.88240664,1,5,1,1,8,2,1,1,1,1,47354.305381,24419.845247,98,1,1,1,2
130,4,546.59812003,1,5,1,1,8,2,1,1,1,1,61788.930123,53883.454707,9,1,1,1,2
131,4,487.96585197,1,5,1,1,8,2,1,1,1,1,39481.776205,36140.970573,5,1,3,1,2
132,4,487.96585197,1,5,1,1,8,2,1,1,1,1,38637.936382,13635.544067,7,1,3,1,2
133,3,491.72602292,1,1,1,1,8,2,1,1,1,1,451707.87485,287536.74644,24,1,3,1,4
134,1,893.23827024,1,1,1,1,8,2,1,1,1,1,87530.153634,129720.85042,11,1,1,2,4
135,2,759.66175953,1,1,1,1,8,2,1,1,1,1,1535165.0246,1090283.561,29,1,1,1,4
136,1,893.23827024,1,1,1,1,8,2,1,1,1,1,66867.310633,107830.99269,25,1,1,2,4
137,2,414.97514171,1,1,1,1,8,2,1,1,1,1,32726.599162,91603.102778,9,1,1,1,4
138,1,893.23827024,1,1,1,1,8,2,1,1,1,1,72725.775915,81905.593133,24,1,1,2,4
